,,,"Is the text inconsistent with the responses? [Yes, No (accepting near-consistency)]","Does the text exhibit a misunderstanding of a part of the instructions? [Yes, No]","Does the text exhibit an understanding of the difference between the two cases, either explicitly or implicitly? [Yes, No]","Is the text likely to be generated by ChatGPT or similar? [Yes, No]",
"(140, 200)","(0, 1)",middle,no,no,no,no,"I think enjoy the original notes more than the money, it will have more meaning."
"(140, 200)","(140, 200)",middle,no,no,yes,no,"I think that Alex would rather have the real notes rather than the money.  I understand that he would never know in the second scenario, but I would still rather give him the real notes, whether he knows or not.  Fake notes just seems too deceptive to me, regardless of the bonus."
"(200, inf)","(70, 100)",high,no,no,yes,no,"I assume Alex will covet the original notes, so always in Case 1 the original is preferred. (I think of an author I am a great fan of, and an original note would mean more than the dollar amounts given.) In Case 2, I do prefer Alex receive the Original (he might not know, but I would), but if he doesn't know one way or the other if its an original, I can see how a bonus somewhere around $100 would be satisfying to Alex. In other words, I can see Alex saying, ""Well, I'm not entirely sure if the notes are original, but at least I got a gift of 100 bucks."" "
"(45, 70)","(45, 70)",low,no,no,yes,no,"Because whether Alex knows or not, it is still material to me that the notes are authentic.  Even if I'm the only person who will ever know, it still matters to me that something is original, and authentic.  Its a personal commitment to truth and objective reality."
"(100, 140)","(140, 200)",middle,no,no,no,no,"I just went with my ""gut"" feeling about it."
"(0, 1)","(-1, 0)",low,no,yes,no,no,"There is a 75% chance in Case 1 that Alex will get the fake notes. I wanted to give him a chance for the original. In Case 2 I wanted to give him more of a chance for the fake. This is because Alex didn't know but the chances were in his favor that in Case 2 he was going to recieve the fake version, I just wanted to help him along with a better percentage towards fake."
"(1, 2)","(1, 2)",high,no,no,no,no,"If he receives the fake notes, and he will hopefully appreciate getting a bonus, I would but that's just me but I would like to think someone else would like a bonus too."
"(200, inf)","(0, 1)",high,no,no,yes,no,"In Case 1, Alex won't know whether his books have original or fake notes. So he might as well get the fake notes and some money. I think Alex would rather have the original notes even if he gives up the $200 bonus for that."
"(200, inf)","(200, inf)",low,no,no,no,no,"If I were in Alex's situation, I would appreciate having real notes instead of fakes ones. "
"(15, 25)","(7, 10)",middle,no,no,yes,no,"If he knows they are fake, I figured he should get more money."
"(70, 100)","(25, 45)",middle,no,no,yes,no,I think he deserves a bigger bonus if tell him the notes are fake. I feel like that is fair.
"(200, inf)","(200, inf)",high,no,no,no,no,I believe someone deserves to have the original writing and signatures of the authors who they admire.  I think this would be more valuable to them than a monetary bonus.
"(45, 70)","(45, 70)",middle,no,no,no,no,Once it got to a large sum of money I think Alex would rather have the money. He will learn from the books either way.
"(200, inf)","(-1, 0)",low,no,no,yes,no,"Since he wasn't going to know the difference and they were completely undistinguishable notes, I figured I might as well give him some money too."
"(25, 45)","(5, 7)",high,no,no,yes,no,I think that Alex knowing will make him reject the book with the notes and if he doesn't know he will be more likely to accept the book. I gave him money quicker for the scenario in which he didn't know because I think the author notes become less important in those scenarios and he should get the money instead.
"(140, 200)","(-inf, -1)",low,no,no,yes,no,"In case 1, he does not know which books he got and is assuming they will be the fake notes. In case 2, he does know which books get got and so it would make sense to give him the original notes."
"(2, 3)","(0, 1)",low,no,no,yes,no,"I think if you don't tell him, he will assume they are real since they are the same as the real ones, basically."
"(200, inf)","(70, 100)",low,no,no,yes,no,"Alex will not believe that he got the original notes in case 1 regardless of whether he did or not. So, I thought if he got the fake notes he should at least get $100 to go along with it. If he got the original notes and thought they were fake, I still somehow think that's worth at least $70 or more that they are the real notes."
"(1, 2)","(1, 2)",middle,yes,yes,no,no,Why not give him the original notes. No one likes fake stuff.
"(2, 3)","(2, 3)",middle,yes,no,no,no,It's cruel to give him the fake ones because he admire these authors. He deserves to get the books with original notes.
"(200, inf)","(200, inf)",high,no,no,no,no,"Since Alex seems to be an economics geek, it would only be right for him to get the original notes. My conscience wouldn't really allow myself to give him something that is fake."
"(70, 100)","(140, 200)",low,no,no,yes,no,I think there is some value to Alex in knowing whether or not he has the original notes and I tried to reflect this.
"(70, 100)","(15, 25)",middle,no,no,yes,no,"Well if they know they got the original notes it probably means more to them than most the amounts of money so my decision reflected that. In Case 2, if they can't know or tell the difference may as well get a  better chance at a bonus with it."
"(1, 2)","(-1, 0)",low,no,no,no,no,I feel that's the right answer to what Alex want and will love
"(100, 140)","(25, 45)",low,no,no,no,no,"Alex loves economics, and would value the original books much higher than their retail cost.  therefore I chose differently in each case."
"(140, 200)","(140, 200)",low,no,no,no,no,I think he would prefer the original notes.
"(2, 3)","(2, 3)",middle,no,no,no,no,"I would want the original note from the author no matter what. Thus, I'm presuming that Alex would as well since he love economics so much."
"(140, 200)","(140, 200)",high,no,no,no,no,I think 200 is a great bonus and you can't tell the originals from the fakes
"(200, inf)","(140, 200)",high,no,no,yes,no,"If he ever does learn that the notes are fake, the monetary gift would lessen the emotional impact. He would probably appreciate the money in general."
"(2, 3)","(140, 200)",high,no,no,no,no,"Knowingly giving Alex a fake book would insult his intelligence if he found out.  However, if he knew there was a chance that he would not know, I'd give him the maximum bonus.  The way I see it, take the money and get the two professors to sign the book for you.  "
"(70, 100)","(15, 25)",middle,no,no,no,no,"I think the real notes are worth something to Alex, so giving him the fake notes would require a higher price tag."
"(200, inf)","(200, inf)",high,no,no,no,no,I think Alex will value the books more with original notes from the authors.
"(-1, 0)","(45, 70)",middle,no,no,yes,no,If he knows they're the wrong ones he can just go get the right ones.
"(200, inf)","(200, inf)",high,no,no,yes,no,"The gift is the book. Even if Alex doesn't know if it's fake or not, I would. I don't want to give a fake gift."
"(70, 100)","(0, 0)",middle,no,no,yes,no,"I have no vested interest in this situation so I do not care if nobody told Alex whether he received the real or fake notes in Case 1.  For Case 2 I think Alex would feel bad about receiving the fake notes, so I think he should receive adequate compensation for getting books with fake notes.  I do not know why I was not indifferent to Case 2 as well since it would make more sense for me to be indifferent."
"(140, 200)","(140, 200)",middle,no,no,no,no,Because I feel that the amount of bonus would be the highest. Alex will appreciate the money along with the books
"(200, inf)","(200, inf)",high,no,no,no,no,The gift in this idea is about the books with the handwritten notes and the books. If I wanted to give him money I would just give him money. A fake note is very psychopathic.
"(0, 1)","(0, 1)",low,yes,no,no,no,I wanted the highest bonus for myself and alex
"(70, 100)","(70, 100)",middle,no,no,no,no,I think for me that $100 and up will be a good a trade of for the fake note. I don't believe Alex will every sell the book if he knew it was the original note to make more. Fake or original is still the note and meaning.
"(100, 140)","(100, 140)",low,no,no,no,no,"I believe there is something important about maintaining authenticity. If I were really Alex's friend and knew how much those original notes would mean to him, I would ensure he got those rather than the fakes. "
"(-inf, -1)","(-inf, -1)",high,no,no,no,no,I was given the chance to only gift Alex 1$. This payment didn't affect the choice in any way. I decided my choice first hand.
"(25, 45)","(25, 45)",high,no,no,yes,no,"Regardless of whether Alex knows the truth of who wrote the notes, I don't value the distinction as requiring a different result for either.  Even if he doesn't know, it is still truly different and should be treated as such."
"(200, inf)","(200, inf)",middle,no,no,no,no,"Alex loves economics, he will value the original notes from the Noble prize laureates more than $200. "
"(1, 2)","(1, 2)",middle,yes,no,no,no,I would just rather give them the real deal.
"(15, 25)","(25, 45)",high,no,no,yes,no,I felt that Alex deserved a higher payment in the case of not knowing the status of the notes.
"(70, 100)","(0, 1)",middle,no,no,yes,no,"If they never know the notes are fake then I dont think it would hurt, if  he will find out the notes are fake, then he has the consolation prize of cash "
"(-inf, -1)","(-inf, -1)",low,no,no,no,no,"I feel that, since there is a 75% chance that he won't be getting the original notes anyway, he may as well get the fake notes and the chance to have a nice bonus."
"(100, 140)","(100, 140)",high,no,no,no,no,It doesn't make a difference; he simply knows whether or not they are real or fake. The odds do not change - he simply will know for certain or will be left wondering - so I do not see why my response would.
"(25, 45)","(70, 100)",low,no,no,yes,no,If he knows I think he will should receive less money because he can tell everyone that its fake
"(-1, 0)","(-inf, -1)",low,no,yes,no,no,I simply wanted to have two kinds of responses and to have an even chance.
"(10, 15)","(0, 1)",low,no,no,yes,no,"In the first case if Alex will never know it seems fair he gets compensated no matter how small the amount. In the second case, he should get fake notes only when he is compensated fairly."
"(25, 45)","(25, 45)",middle,no,no,no,no,"because I honestly could not care any less about this entire scenario both of them seem fairly equal, given the fact its just some dusty book that will end up worthless in 2 years anyhow."
"(0, 1)","(0, 0)",middle,no,yes,yes,no,I think it is more interesting to have a scenario where he is told and a scenario where he is not. I want to see how Alex will react to each.
"(100, 140)","(70, 100)",high,no,no,yes,no,I thought Alex should earn more for knowing the books he received had fake notes
"(200, inf)","(200, inf)",low,no,no,no,no,The fake notes miss the entire point if he actually cares about economics. He would want the originals or nothing.
"(0, 1)","(0, 1)",middle,no,no,no,no,I feel like a dollar is more of an incentive than a fake note with indistinguishably fake handwriting.
"(70, 100)","(25, 45)",low,no,no,yes,no,"I felt if Alex wasn't going to whether he received the original notes, he deserved some additional compensation even it was a smaller amount. "
"(0, 0)","(0, 0)",low,no,no,yes,no,"I don't think it much matters. If we tell him, he'll know & think about it. That may or may not make him think differently about the books. If we don't tell him, he'll never know & won't have the opportunity to care. I'm indifferent as well."
"(70, 100)","(45, 70)",low,no,no,no,no,I thought about how Alex would feel about my decision if he knew the outcome.
"(15, 25)","(15, 25)",middle,no,no,no,no,I just think it would be nice if he got the real notes.  I think the real notes have more value to the book.
"(200, inf)","(200, inf)",high,no,no,no,no,I believe that Alex will get the original notes regardless of which case is utilized.  I think that providing Alex with the original notes is paramount based on his passion for economics.  I think that Alex would prefer the original notes versus receiving fake notes and a bonus.
"(140, 200)","(70, 100)",high,no,no,yes,no,"I think it is dishonest to forge a note and present it as the real thing, so I chose the original note or $100 at least in the case that he does not know. When he WILL be told which books he got, if it happens to be the fake notes he should get $200 bonus because the notes are basically worthless to him."
"(0, 1)","(0, 1)",low,no,no,no,no,Because I wanted to provide Alex with a chance at getting a monetary reward
"(140, 200)","(0, 0)",high,no,no,yes,no,I feel like if you're going to tell him then it should be the original notes and if not then it doesn't really matter especially since there is no discernable difference between the notes
"(45, 70)","(45, 70)",high,no,no,no,no,Because I think at that point it will be worth getting the books with the fake notes for the monetary value exchange.
"(15, 25)","(15, 25)",middle,no,no,no,no,I thought he would prefer the original notes unless the bonus was at least $25.
"(200, inf)","(200, inf)",high,no,no,yes,no,Alex should get the original notes.  Doesn't matter if he is told or not.  Alex shouldn't get the fake notes.
"(200, inf)","(140, 200)",middle,no,no,no,no,"Well, if Alex loves economics, I just feel like he would appreciate the original notes regardless of monetary gain. Even in the $200 option I kind of just wanted to give him the original notes, and part of me still thinks I should have, but in the end I guess humans are greedy so the $200 seemed too much to pass up if the notes are ultimately identical, and he will never know..."
"(200, inf)","(140, 200)",high,no,no,yes,no,"If he will NOT learn whether they are original or fake, I believe he may be more interested in having the $200.  If he WILL learn, then I think knowing they are original is most important."
"(200, inf)","(200, inf)",middle,no,no,no,no,I thought the only real value was in the books with the original notes. It seemed to me having books with fake notes and some cash was inauthentic and didn't value Alex's interest in economics or the work of the two professors.
"(0, 1)","(0, 1)",middle,no,no,no,no,"I think regardless of the real or fake notes, he would prefer the money."
"(15, 25)","(7, 10)",high,no,no,yes,no,To me there will be more disappointment in knowing something is fake so I increased the reward for him finding out he got fake notes.
"(45, 70)","(45, 70)",low,no,no,yes,no,"I don't know Alex, but I'll do my best to choose what I think it the best choice for him. Since I don't know him, it's not really relevant to me if he finds out about my decision or not. I don't know enough about Alex to know if he would prefer to know that he has fake notes or not. I could only choose what I considered to be the best option, but whether or not Alex understands if his notes are real or not doesn't really effect my decision at all."
"(7, 10)","(0, 1)",middle,no,no,yes,no,"I think that if he knew that they were fake, he'd feel a bit bad about it. If he doesn't know, then it doesn't matter."
"(10, 15)","(0, 0)",low,no,no,yes,no,"I think in the case of telling him, it would make Alex happier to know that he did get the originals, or the fakes along with a bonus or $15 or more. For Not telling him, he already thinks he is getting a fake up to 75% so it really doesnt matter to me if he gets the real or fake books. "
"(0, 1)","(-1, 0)",high,no,no,yes,no,If he didn't know if they were fake I feel like it doesn't matter if they were the real notes or not. If he did know then its better to be honest and give him the one with the real notes.
"(140, 200)","(15, 25)",low,no,no,yes,no,"If Alex does not know what he is getting, it does not make sense to add a very large bonus to the fake notes. If he knows he's getting the fake notes, he would want some sort of large bonus with it. "
"(45, 70)","(25, 45)",middle,no,no,yes,no,"I don't know if I could give a great answer. I just felt like that was what it was worth in both cases. Alex wouldn't know one way or the other for the first case, no matter what, so I felt it was worth less as a whole."
"(70, 100)","(70, 100)",high,no,no,no,no,I'd rather he have the original notes because economics is important to him and he admires these authors.
"(15, 25)","(0, 0)",middle,no,no,yes,no,The response is different since Alex would not be able to tell in the first case if the notes are fake or not. I take this to mean that he will assume they are the real ones so he will be just as happy to receive the fake ones.
"(200, inf)","(200, inf)",low,no,no,no,no,I  think it's wrong to give something that is fake. It's just a crappy thing to do.
"(7, 10)","(0, 0)",low,no,no,yes,no,"Because if Alex knows that the notes are original, he might value them more than receiving the fake ones plus a relatively small amount of money. For larger amounts of money, he probably would prefer the money. In the other case, he won't know no matter what, so I figured there would be more scenarios where he might prefer the money."
"(70, 100)","(0, 1)",low,no,no,yes,no,"When he knows if then. What he does not know will not hurt him but knowing the notes are fake in case one would discourage him.otes are original, I think it would be nice for them to be so. Since the odds are he gets the fake in either scenario, when he is dnot told in case two I figure he might as well get the fake set. "
"(-1, 0)","(-1, 0)",low,no,no,no,no,"I was trying to increase the bonus amount Alex could seek, if I have properly understood the instructions. "
"(70, 100)","(0, 0)",middle,yes,no,no,no,I want Alex to get real notes.
"(0, 1)","(0, 1)",middle,no,yes,no,no," He knows he may or may not have the fake or real note, so why not give him a bonus? Money is money while a note is just a note."
"(0, 1)","(0, 1)",high,no,yes,no,no,"He had a high chance of getting the original notes.  Honestly, I don't really care which one he gets.  I am sure that he would prefer to get the original notes which is why I selected that option for him."
"(7, 10)","(0, 0)",low,no,no,no,no,I prefer that he knows he got the real ones when he does so he knows how much to value them but if there is a lot of money involved then I think he would prefer the money to the real ones.
"(140, 200)","(200, inf)",middle,no,no,yes,no,I think if he's going to know then I would let him know it's fake and get the 200 bonus
"(45, 70)","(3, 5)",low,no,no,yes,no,"I thought that in most cases it would be best to give him the books with real notes whether he knew it or not, but if the bonus was fairly significant I decided that it would be fine to give him the books with the fake notes even if he knew they were fake."
"(70, 100)","(25, 45)",low,no,no,yes,no,"If he is going to find out that he received fake notes, I want him to feel that he was fairly compensated for this fact and could in turn purchase the real books if he so desires."
"(25, 45)","(200, inf)",low,no,no,yes,no,"I don't like deceiving people and it seems lame that he might get fake notes and not know it. But in the case where he would know it, getting a good amount of money seems like it offsets the fake notes a bit as long as he knows they're fake"
"(15, 25)","(15, 25)",middle,no,no,no,no,"I felt like the value of the real vs fake notes was approximately $25.  Although I preferred the real notes, I was able to choose a book with fake notes with the proper incentive."
"(2, 3)","(2, 3)",high,no,no,yes,no,I don't see a reason to change my answer or action based on whether or not Alex knows or not if he is receiving the original notes. I would like him to receive the original notes. A higher bonus though I would prefer to give to Alex over the original notes though.
"(200, inf)","(100, 140)",high,no ,no,yes,no,"I think the value of the original notes, if known, is worth more than pretty much any amount of money, well more than $200 anyway.  Otherwise I think if you take the bonus money out of the equation the original notes are always more meaningful "
"(200, inf)","(25, 45)",low,no,no,yes,no,"I thought Alex would want the books with the real notes in any event, but in Case 2 I figured he might as well be compensated for the uncertainty once I felt the bonus was high enough."
"(45, 70)","(45, 70)",high,no,no,no,no,"I based it on the monetary value of the bonus. The contents of the published book should be the most important, not the hand written notes."
"(70, 100)","(100, 140)",high,no,no,yes,no,"If he's going to know the outcome, I first prefer he get the real notes. Once the other option gets to about $100, I think it would be less of an issue that the notes are fake. In other words, if he knows, he understands why he got the fake note - because I thought maybe he needed $100+ more. If he doesn't know, I prefer the originals all the way up to $140+. For my own discomfort in enabling him to believe something false. I'd rather he get one of the top two monetary rewards if he gets the fake note and doesn't know it's fake, so that it'd make me a little less antsy about having lied to him."
"(200, inf)","(200, inf)",middle,no,no,no,no,"I don't believe it is right to give them the book with the fake notes. No mater the amount of money, I would think he would want the ones with the original notes since he loves economics so much, I don't think he would appreciate the one with fake notes."
"(70, 100)","(7, 10)",high,no,no,no,no,"Even though no one can tell them apart, there is something more special about the genuine article. It's the same reason that people try to authenticate autographs on baseball cards. I think most would prefer Cal Ripken's autograph over someone's forgery for example."
"(200, inf)","(0, 0)",middle,yes,yes,no,no,I would like for him to get the original ones and the 200.
"(25, 45)","(0, 1)",high,no,no,no,no,I know that Alex admires the authors and so I wanted him to have the genuine notes up until the point that he could profit significantly.
"(200, inf)","(0, 0)",middle,no,no,yes,no,"I originally felt that it would be wrong to use deception or let Alex doubt whether he had authentic notes. I felt that knowing he had authentic notes would be more valuable for him than $200. I contemplate at this point whether changing my answers for the gift could communicate to him the authenticity of the notes by giving $0 bonus, but I'm not sure. "
"(200, inf)","(70, 100)",middle,no,no,no,no,There's no guarantee that Alex will get the originals so I thought it would be appropriate to award the bonus in case he didn't get the originals. I simply drew a line in the sand at $100 since it's a good amount of money.
"(25, 45)","(25, 45)",high,no,no,no,no,I think that is the fairness of the matter at hand
"(200, inf)","(-inf, -1)",low,no,no,yes,no,"Alex will assume fake notes if you don't tell him, so give him fake notes which he will assume. If you do tell him, I suspect he will value the notes more than any money (up to $200). After all, he is likely to earn a lot of money once he graduates, and $200 will seem a pittance to him later."
"(45, 70)","(0, 0)",middle,no,no,yes,no,"I think he would prefer to get the real notes, but if he isn't going to find out and they are indistinguishable then I don't think it really matters. If he knows he's getting fake notes then I said to do that after $45 because that's what I thought was closest to the value of two books."
"(0, 1)","(0, 1)",low,no,no,no,no,There was no reason to not give him the original notes in this case
"(70, 100)","(70, 100)",high,no,no,no,no,$100 is $100. That's the package I would choose and I like economics too!
"(0, 1)","(-1, 0)",high,no,no,no,no,To study the difference in both situations with opposite outcomes
"(25, 45)","(10, 15)",low,no,no,no,no,"I figured if he knew he was getting a fake, he would appreciate the money in a way. Im not sure how logical it was but made sense to me"
"(1, 2)","(-1, 0)",middle,no,no,yes,no,Because I wanted Alex to get a bonus for knowing that he had got a fake one.
"(70, 100)","(70, 100)",high,no,no,no,no,"The 75% probability was the same in both cases. Plus, the professors work at his university. For the right price, he could have the ones with the original notes."
"(70, 100)","(200, inf)",middle,no,no,yes,no,"I felt like Alex, enjoying economics, would really want the original notes. I felt like him not knowing, I would want to ensure he always got the original amount. If he did know, whether he got the fake notes or not, I felt like if he was given information as to what he got, he would appreciate the dollar amount more than which copy he got as he knew."
"(45, 70)","(-1, 0)",low,no,no,yes,no,Well I am giving it as a gift in both cases and the original notes would be important for Alex.   So since he is being told in case 1 I would be happy that he got the notes and knows they are true.   In Case 2 the uncertainty would be troubling for Alex as he would most likely not believe them to be real with a 75% chance so I would rather him get the bonus
"(25, 45)","(70, 100)",high,no,no,no,no,I think knowing the authenticity of the note is important to Alex. So I want him to get a higher bonus if he's isn't being informed about the authenticity of the notes.
"(70, 100)","(0, 0)",low,no,no,no,no,Because if Alex got the fake book with fake notes then he should get compensatated for the fakes.
"(100, 140)","(70, 100)",low,no,no,no,no,"I would rather Alex get the original books, since they're genuine.  But I also want Alex to get more money because that is a nice bonus, so if it's over $100 I would rather he have the fake notes since his bonus will be higher"
"(7, 10)","(0, 0)",low,no,no,yes,no,I was indifferent if he didn't know since the fake and real ones are identical so it wouldn't really matter. If he would be told then it would matter more for him to get the real ones.
"(25, 45)","(7, 10)",middle,no,no,yes,no,"Since in case 1 Alex does not know which notes he got, he would be less disappointed with the books and thus likely value them more than in case 2, where if he gets the fake notes, he will value the books less and thus require additional money to make up the lost value."
"(15, 25)","(25, 45)",middle,no,no,yes,no,I think by not telling Alex I feel like maybe he would like to have a bit of extra money. Maybe it is guilt for not telling him about the originality of the notes.
"(45, 70)","(0, 0)",high,no,no,yes,no,"Well, since Alex won't know for Case 1, I felt it didn't matter much what he got since, at the end of the day, since they're indistinguishable, he will most likely always believe them to be the original. The professor's will also believe so since they can't distinguish it either. For case 2, I feel that at a certain point, the money will be a good bonus for Alex, and despite not getting the original notes, will feel comfort knowing that it's basically identical to the original notes and wouldn't be noticed if he wasn't told"
"(25, 45)","(10, 15)",low,no,no,yes,no,because if Alex doesn't know why should he get a big bonus... If he does know then give him a bigger bonus so if they are the fakes then maybe the bonus could cover the cost of the real ones
"(2, 3)","(-1, 0)",middle,no,yes,no,no,I wanted to confuse Alex by luring him into a false sense of security.
"(0, 1)","(0, 1)",low,no,no,no,no,I feel Alex would rather have the bonus than the original notes from the professors.
"(45, 70)","(45, 70)",low,no,no,no,no,"I wanted him to get the real notes in most cases, unless there was a significant bonus for him. "
"(200, inf)","(200, inf)",low,no,no,yes,no,"I believe since Alex loves economics, it would mean more to him to have the books with the original notes. It's only fair to give them to him in both cases."
"(15, 25)","(10, 15)",middle,no,no,yes,no,"In the first case, he would know which is which so if he got the fake notes, I would prefer he got a larger bonus, since he knows. In the second case, where he will not know, I prefer he get a bonus starting at a lower threshold since he has no clue."
"(200, inf)","(0, 0)",high,no,no,no,no,The value of the bonus would likely be diminished by knowing the authenticity of the notes.
"(70, 100)","(25, 45)",middle,no,no,no,no,Whatevs
"(3, 5)","(70, 100)",high,no,no,yes,no,"If he already knows what book he will be getting, then there is no real reason to give a large surprise bonus to him"
"(5, 7)","(5, 7)",high,yes,no,no,no,I thought it would be fun to try both outcomes and see how they will turn out in the end
"(70, 100)","(0, 1)",middle,no,no,no,no,"Because of the gamefied interpretation I currently have when it comes to this project, it seems like the most fun way to approach it."
"(140, 200)","(45, 70)",high,no,no,yes,no,"i think that the 70 dollars is the tipping point for where i would assess a reasonable value in exchange for the notes, also with him not knowing, but having a feeling that they would be positive, i feel like this would be a fair trade where he would enjoy the bonus but also likely believe that the notes are real. where he knew whether they were real or fake I thought that it was only fair to give the highest value in exchange for fake notes."
"(15, 25)","(0, 0)",middle,no,no,yes,no,"If Alex won't know if the notes are fake or not then he might as well get the bonus. If he knows then he will probably have more personal value towards the real notes, at least to a point."
"(45, 70)","(45, 70)",high,no,no,no,no,It would be nice for him to receive the original note
"(70, 100)","(200, inf)",middle,no,no,yes,no,"In a case where Alex will never learn whether he has fake or original notes it isnt fair to cheat him by giving him fake notes, so there is no amount of cash that should be given to make up for that. In a case where he will be told he has been given fake notes then he can get some cash and do what he will with either the fake notes or the information, i.e. go find the original notes and still have cash in his pocket."
"(45, 70)","(0, 1)",middle,no,no,yes,no,"if you know the notes are original, they have value, but at some point, the money choice is better than having original notes.  if you do not know if the notes are original, they are interesting but have no value.  more money is always the better choice."
"(45, 70)","(25, 45)",high,no,no,yes,no,"My reasoning was that if Alex learns whether the books are original or fake, I would assume Alex would want the original and would only want the fake with incentives only if the incentive was high enough."
"(140, 200)","(0, 0)",low,no,no,yes,no,"I think that it is important for Alex to know if he has original notes, so if they are going to let him know, he should receive the one with original notes.  If he is not going to be told if they are original, it does not make any difference if they are original or not.  "
"(200, inf)","(200, inf)",middle,no,no,no,no,He can always make money but the opportunity to get the books with original notes is priceless
"(15, 25)","(0, 1)",low,no,no,yes,no,"If Alex is going to be told that the notes are fake, he at least deserves a good amount of money to make up for that. But if he doesn't know, then any bonus would seem like a nice little present. "
"(100, 140)","(0, 0)",high,no,no,yes,no,"If Alex does not know if the notes are original or not, it will not impact his value of the books."
"(-1, 0)","(0, 1)",high,no,yes,no,no,I prefare alex getting the original books  he deserves it.
"(200, inf)","(200, inf)",low,no,no,no,no,"The real notes actually written by the professors are more valuable to Alex.  No one wants books with fake notes, even if no one can tell the difference.  The original gifters do know the difference between the books.  It is more valuable to have the actual notes and signatures of the professors.  Plus, Alex should know he has the legitimate notes in his books.  "
"(3, 5)","(0, 0)",middle,no,no,yes,no,If he doesn't know he won't be able to tell the difference anyway.  If we do tell him which notes he got I would rather he get the original ones up to a point.
"(25, 45)","(0, 0)",middle,no,no,yes,no,"In Case 1 he will never know if they were fake or original so he may as well get a bonus for having the fake notes. In Case 2 where he will know, he would probably prefer the original until the bonus makes up for it."
"(0, 1)","(0, 0)",high,no,no,yes,no,"It felt important for Alex to receive the originals in case 1 and it really felt like it didn't matter in case 2, especially since they are indistinguishable."
"(200, inf)","(200, inf)",middle,no,no,yes,no,"Alex loves economics and would really appreciate the original notes. I don't like to deceive people in scenarios like this. Besides, the money is not really a big deal and will be spent. The original notes are the real deal and will last forever, something that Alex will cherish for his whole life."
"(-1, 0)","(-inf, -1)",low,no,no,no,no,Felt there should be different sceanrios in this exercise so as not to be predictable.
"(2, 3)","(1, 2)",high,no,no,yes,no,"I feel that if Alex knows, the book will feel more authentic and there is some value to that. If they should be compensated $3 if they find out they got the fake one since there will be a sense of loss. If he does not know which one they got, than there would not be this sense of loss so the value of the note is less."
"(0, 1)","(-1, 0)",low,no,no,yes,no,I chose depending on whether Alex would find out or not. Wanted to give bonus in either case
"(7, 10)","(7, 10)",low,no,no,yes,no,Well I did not see a difference in telling him or not telling him. What I went off was what I thought was reasonable amount of money to recieve the fake notes and not the real one.
"(200, inf)","(0, 0)",low,no,no,yes,no,"The odds are high that Alex will get the fake ones, so if Alex isn't told, then Alex will assume the notes are fake anyway - so it doesn't matter whether they're real or not, Alex will always assume they're fake."
"(140, 200)","(200, inf)",middle,no,no,no,no,Sometimes my conscience gets me and I want the real thing.
"(200, inf)","(200, inf)",middle,no,no,yes,no,The original notes by the authors who wrote the books seem more worth it than the extra bonus with fake notes. The original books will likely have even more value than the ones with fake notes.
"(200, inf)","(200, inf)",high,no,no,no,no,Alex seems to be very interested in economics and these to authors/professors in particular.  Considering this I think he would much prefer to have books with real handwritten notes form those authors.
"(0, 1)","(0, 0)",low,no,no,yes,no,"I felt bad giving Alex the books with the fake notes and telling him about it.  If he didn't know what he was getting, I was ok with him getting fake notes.  But if we were telling him, I wanted him to have the original books."
"(-1, 0)","(-1, 0)",middle,no,no,no,no,"If the message is the same and was originally created by the author, I don't find as much value in how it was printed on the page."
"(140, 200)","(140, 200)",low,no,no,no,no,"I believe Alex values authenticity over money considerations; however, I arbitrarily chose the highest dollar amount available to include with fake notes if, in fact, Alex received the fake notes because, although I have no control over which notes he gets, I can control whether or not he receives money."
"(140, 200)","(200, inf)",low,no,no,no,no,I want to compensate Alex if I gave a fake one
"(200, inf)","(200, inf)",low,no,no,no,no,I just believe that Alex would really want the originals from these authors no matter what.
"(200, inf)","(70, 100)",middle,no,no,yes,no,"In Case 1, Alex was going to know the authenticity of my gift and I wanted him to feel appreciated. I wanted to appreciate him in Case 2 as well, so I took advantage of the fact that he wouldn't know the difference between the fake and real notes by giving him an extra $100+ on top of the books with the fake notes."
"(70, 100)","(0, 0)",high,no,no,yes,no,"I think that if he knows, good news is best, but if he does not know, then it doesn't matter. "
"(70, 100)","(25, 45)",high,no,no,yes,no,"Because the notes are worth more than the money if they are real, so if he knows for sure I would rather he get a higher amount of money with the fake notes."
"(70, 100)","(70, 100)",low,no,no,no,no,"I think that Alex would prefer original notes in both cases. However, there is a good chance that he would rather receive $100 or more in both cases."
"(1, 2)","(0, 1)",high,no,no,yes,no,"Since he wouldn't know if the notes are fake or original, it is better to choose the option that maximises his bonus option. "
"(70, 100)","(45, 70)",high,no,no,yes,no,"I would lean towards giving him the money sooner in the case where he will not know if the books are real, because I think the money would make him less upset if he is unsure about the books."
"(200, inf)","(200, inf)",middle,no,no,yes,no,"I decided he should have the original ones and not the fake one's especially when the bonus extra amount wasn't very much money. It would need to be over five hundred dollars, in my opinion, to be worth getting fake one's so if he ever discover they are fake and decides to buy real one's he'll have the money to do it to compensate for being duped."
"(100, 140)","(200, inf)",high,no,no,yes,no,"I believe he would enjoy the original notes much more for Case 1, in Case 2 I think since at a certain point he'd rather a larger bonus."
"(200, inf)","(70, 100)",middle,no,no,yes,no,"If he knows then I am not sure the money really does anything to make him happy. However, if he doesn't know then the higher dollar values are a nice bonus to his gift."
